fecha_acta,acta_numero,acta_periodo,superficie,etapa,long,lat,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
2019-01-23,180004,2018,0.0,Terminaciones,-58.517858,-34.598665999999994,LINCOLN AV. 4489,4489,Villa Devoto,Comuna 11,1419.0,C1419IFJ
2019-04-09,192231,2019,0.0,Terminaciones,-58.517858,-34.598665999999994,LINCOLN AV. 4489,4489,Villa Devoto,Comuna 11,1419.0,C1419IFJ
2019-06-06,198654,2019,0.0,Terminaciones,-58.517858,-34.598665999999994,LINCOLN AV. 4489,4489,Villa Devoto,Comuna 11,1419.0,C1419IFJ
2019-02-20,185786,2019,0.0,Otros,-58.507055,-34.599965999999995,LINCOLN AV. 3751,3751,Villa Devoto,Comuna 11,1419.0,C1419IFC
2019-01-09,48213,2019,0.0,Terminaciones,-58.504976,-34.60021500000001,LINCOLN AV. 3611,3611,Villa Devoto,Comuna 11,1419.0,C1419IFB
2019-02-20,186173,2019,0.0,Terminaciones,-58.504976,-34.60021500000001,LINCOLN AV. 3611,3611,Villa Devoto,Comuna 11,1419.0,C1419IFB
2019-04-04,188504,2019,0.0,Terminaciones,-58.504976,-34.60021500000001,LINCOLN AV. 3611,3611,Villa Devoto,Comuna 11,1419.0,C1419IFB
2019-05-30,197750,2019,0.0,Terminaciones,-58.504976,-34.60021500000001,LINCOLN AV. 3611,3611,Villa Devoto,Comuna 11,1419.0,C1419IFB
2019-02-20,185617,2019,0.0,Demolición,-58.50425300000001,-34.600301,LINCOLN AV. 3571,3571,Villa Devoto,Comuna 11,1419.0,C1419IFA
2019-03-27,188508,2019,0.0,Demolición,-58.50425300000001,-34.600301,LINCOLN AV. 3571,3571,Villa Devoto,Comuna 11,1419.0,C1419IFA
2019-01-15,176091,2018,0.0,Terminaciones,-58.5034,-34.600401,LINCOLN AV. 3527,3527,Villa Devoto,Comuna 11,1419.0,C1419IFA
2019-03-01,180825,2019,0.0,Terminaciones,-58.5034,-34.600401,LINCOLN AV. 3527,3527,Villa Devoto,Comuna 11,1419.0,C1419IFA
2019-01-15,49236,2019,0.0,Terminaciones,-58.5034,-34.600401,LINCOLN AV. 3527,3527,Villa Devoto,Comuna 11,1419.0,C1419IFA
2019-04-16,190404,2019,0.0,Terminaciones,-58.5034,-34.600401,LINCOLN AV. 3527,3527,Villa Devoto,Comuna 11,1419.0,C1419IFA
2019-06-07,200563,2019,0.0,Terminaciones,-58.5034,-34.600401,LINCOLN AV. 3527,3527,Villa Devoto,Comuna 11,1419.0,C1419IFA
2019-04-12,195393,2019,0.0,Terminaciones,-58.503309,-34.600412,LINCOLN AV. 3515,3515,Villa Devoto,Comuna 11,1419.0,C1419IFA
