fecha_acta,acta_numero,acta_periodo,superficie,etapa,long,lat,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
2019-01-10,175317,2018,0.0,Otros,-58.502878,-34.650681,LARRAZABAL AV. 1240,1240,Mataderos,Comuna 9,1440.0,C1440CUR
2019-04-22,198962,2019,0.0,Estructura en elevación,-58.513723,-34.642314,LARRAZABAL 283,283,Liniers,Comuna 9,1408.0,C1408HEB
2019-05-23,201533,2019,0.0,Estructura en elevación,-58.513723,-34.642314,LARRAZABAL 283,283,Liniers,Comuna 9,1408.0,C1408HEB
2019-01-17,177040,2018,0.0,Albañilería,-58.498614,-34.654783,LARRAZABAL 1645,1645,Mataderos,Comuna 9,1440.0,C1440CUI
2019-03-12,52030,2018,0.0,Albañilería,-58.498614,-34.654783,LARRAZABAL 1645,1645,Mataderos,Comuna 9,1440.0,C1440CUI
2019-04-09,192219,2019,0.0,Albañilería,-58.498614,-34.654783,LARRAZABAL 1645,1645,Mataderos,Comuna 9,1440.0,C1440CUI
2019-01-25,176325,2018,0.0,Albañilería,-58.501509,-34.65187,LARRAZABAL 1362,1362,Mataderos,Comuna 9,1440.0,C1440CUS
2019-03-20,182708,2019,0.0,Albañilería,-58.501509,-34.65187,LARRAZABAL 1362,1362,Mataderos,Comuna 9,1440.0,C1440CUS
2019-05-17,194087,2019,0.0,Albañilería,-58.501509,-34.65187,LARRAZABAL 1362,1362,Mataderos,Comuna 9,1440.0,C1440CUS
2019-03-27,192604,2019,0.0,Demolición,-58.482583,-34.666394,LARRAYA 3017,3017,Villa Lugano,Comuna 8,1439.0,C1439EJI
2019-04-16,195937,2019,0.0,Demolición,-58.482583,-34.666394,LARRAYA 3017,3017,Villa Lugano,Comuna 8,1439.0,C1439EJI
2019-05-24,2714,2018,0.0,Demolición,-58.49932800000001,-34.564795000000004,"LARRALDE, CRISOLOGO AV. 5611",5611,Saavedra,Comuna 12,1431.0,C1431APS
2019-02-12,177732,2018,0.0,Albañilería,-58.492176,-34.561477000000004,"LARRALDE, CRISOLOGO AV. 5010",5010,Villa Urquiza,Comuna 12,1431.0,C1431APH
2019-04-23,186436,2019,0.0,Albañilería,-58.492176,-34.561477000000004,"LARRALDE, CRISOLOGO AV. 5010",5010,Villa Urquiza,Comuna 12,1431.0,C1431APH
2019-02-15,177057,2018,0.0,Albañilería,-58.489698,-34.559918,"LARRALDE, CRISOLOGO AV. 4741",4741,Saavedra,Comuna 12,1431.0,C1431APA
2019-03-27,187406,2019,0.0,Albañilería,-58.489698,-34.559918,"LARRALDE, CRISOLOGO AV. 4741",4741,Saavedra,Comuna 12,1431.0,C1431APA
2019-04-15,194845,2019,0.0,Otros,-58.480305,-34.555732,"LARRALDE, CRISOLOGO AV. 3768",3768,Saavedra,Comuna 12,1430.0,C1430AIH
2019-04-15,196522,2019,0.0,Demolición,-58.479337,-34.555079,"LARRALDE, CRISOLOGO AV. 3667",3667,Saavedra,Comuna 12,1430.0,C1430AIE
2019-05-28,200201,2019,0.0,Demolición,-58.479337,-34.555079,"LARRALDE, CRISOLOGO AV. 3667",3667,Saavedra,Comuna 12,1430.0,C1430AIE
2019-01-15,178116,2018,0.0,Demolición,-58.47856,-34.554762,"LARRALDE, CRISOLOGO AV. 3590",3590,Saavedra,Comuna 12,1430.0,C1430AID
2019-03-27,180702,2019,0.0,Demolición,-58.47856,-34.554762,"LARRALDE, CRISOLOGO AV. 3590",3590,Saavedra,Comuna 12,1430.0,C1430AID
2019-05-14,195725,2019,0.0,Demolición,-58.47856,-34.554762,"LARRALDE, CRISOLOGO AV. 3590",3590,Saavedra,Comuna 12,1430.0,C1430AID
2019-01-15,176192,2018,0.0,Albañilería,-58.47654,-34.553527,"LARRALDE, CRISOLOGO AV. 3367",3367,Saavedra,Comuna 12,1429.0,C1429BUA
2019-02-21,180716,2019,0.0,Albañilería,-58.47654,-34.553527,"LARRALDE, CRISOLOGO AV. 3367",3367,Saavedra,Comuna 12,1429.0,C1429BUA
2019-04-15,188598,2019,0.0,Albañilería,-58.47654,-34.553527,"LARRALDE, CRISOLOGO AV. 3367",3367,Saavedra,Comuna 12,1429.0,C1429BUA
2019-02-21,188599,2019,0.0,Albañilería,-58.47654,-34.553527,"LARRALDE, CRISOLOGO AV. 3367",3367,Saavedra,Comuna 12,1429.0,C1429BUA
2019-05-28,200196,2019,0.0,Albañilería,-58.47654,-34.553527,"LARRALDE, CRISOLOGO AV. 3367",3367,Saavedra,Comuna 12,1429.0,C1429BUA
2019-04-15,196983,2019,0.0,Hormigon,-58.47615699999999,-34.553315000000005,"LARRALDE, CRISOLOGO AV. 3301",3301,Saavedra,Comuna 12,1429.0,C1429BUA
2019-05-27,200180,2019,0.0,Hormigon,-58.47615699999999,-34.553315000000005,"LARRALDE, CRISOLOGO AV. 3301",3301,Saavedra,Comuna 12,1429.0,C1429BUA
2019-02-14,178122,2018,0.0,Albañilería,-58.473287,-34.551727,"LARRALDE, CRISOLOGO AV. 2957",2957,Saavedra,Comuna 12,1429.0,C1429BTJ
2019-03-26,187021,2019,0.0,Albañilería,-58.473287,-34.551727,"LARRALDE, CRISOLOGO AV. 2957",2957,Saavedra,Comuna 12,1429.0,C1429BTJ
2019-05-27,195573,2019,0.0,Albañilería,-58.473287,-34.551727,"LARRALDE, CRISOLOGO AV. 2957",2957,Saavedra,Comuna 12,1429.0,C1429BTJ
2019-05-27,197302,2019,0.0,Demolición,-58.473207,-34.551803,"LARRALDE, CRISOLOGO AV. 2954",2954,Nuñez,Comuna 13,1429.0,C1429BTW
2019-04-03,194199,2019,0.0,Demolición,-58.473207,-34.551803,"LARRALDE, CRISOLOGO AV. 2954",2954,Nuñez,Comuna 13,1429.0,C1429BTW
2019-01-04,47430,2018,0.0,Albañilería,-58.472267,-34.551163,"LARRALDE, CRISOLOGO AV. 2847",2847,Saavedra,Comuna 12,1429.0,C1429BTI
2019-04-15,194687,2019,0.0,Hormigon,-58.471234,-34.550591,"LARRALDE, CRISOLOGO AV. 2727",2727,Saavedra,Comuna 12,1429.0,C1429BTH
2019-05-13,200152,2019,0.0,Hormigon,-58.471234,-34.550591,"LARRALDE, CRISOLOGO AV. 2727",2727,Saavedra,Comuna 12,1429.0,C1429BTH
2019-05-20,205780,2019,0.0,Hormigon,-58.471234,-34.550591,"LARRALDE, CRISOLOGO AV. 2727",2727,Saavedra,Comuna 12,1429.0,C1429BTH
2019-05-29,207328,2019,0.0,Hormigon,-58.471234,-34.550591,"LARRALDE, CRISOLOGO AV. 2727",2727,Saavedra,Comuna 12,1429.0,C1429BTH
2019-06-10,209796,2019,0.0,Hormigon,-58.471234,-34.550591,"LARRALDE, CRISOLOGO AV. 2727",2727,Saavedra,Comuna 12,1429.0,C1429BTH
2019-05-29,209797,2019,0.0,Hormigon,-58.471234,-34.550591,"LARRALDE, CRISOLOGO AV. 2727",2727,Saavedra,Comuna 12,1429.0,C1429BTH
2019-02-14,178090,2018,0.0,Albañilería,-58.469181000000006,-34.549456,"LARRALDE, CRISOLOGO AV. 2491",2491,Saavedra,Comuna 12,1429.0,C1429BTE
2019-03-28,187061,2019,0.0,Albañilería,-58.469181000000006,-34.549456,"LARRALDE, CRISOLOGO AV. 2491",2491,Saavedra,Comuna 12,1429.0,C1429BTE
2019-05-20,196071,2019,0.0,Albañilería,-58.469181000000006,-34.549456,"LARRALDE, CRISOLOGO AV. 2491",2491,Saavedra,Comuna 12,1429.0,C1429BTE
2019-03-28,196074,2019,0.0,Albañilería,-58.469181000000006,-34.549456,"LARRALDE, CRISOLOGO AV. 2491",2491,Saavedra,Comuna 12,1429.0,C1429BTE
2019-02-25,176585,2018,0.0,Submuración y bases,-58.461045,-34.545432,"LARRALDE, CRISOLOGO AV. 1664",1664,Nuñez,Comuna 13,1429.0,C1429BST
